Movie,The Last Full Measure,The Last Full Measure,2018,,"Drama,war"
Tvepisode,I Called Him Magoo,I Called Him Magoo,2010,22,"Comedy,romance"
Movie,The Attack,The Attack,2012,102,Drama
Movie,The Boxtrolls,The Boxtrolls,2014,96,"Adventure,animation,comedy"
Movie,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108,"Biography,drama"
Movie,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100,"Adventure,comedy,fantasy"
Movie,Dallas Buyers Club,Dallas Buyers Club,2013,117,"Biography,drama"
Movie,Elliot Loves,Elliot Loves,2012,92,"Comedy,romance"
Movie,The First Grader,The First Grader,2010,103,"Biography,drama,romance"
Movie,Jack Reacher,Jack Reacher,2012,130,"Action,crime,mystery"
Movie,R.I.P.D.,R.I.P.D.,2013,96,"Action,adventure,comedy"
Movie,Miles Ahead,Miles Ahead,2015,100,"Biography,drama,music"
Movie,The Yellow Wallpaper,The Yellow Wallpaper,2012,115,Thriller
Tvepisode,Avotar,Avotar,2010,,Comedy
Movie,Wilde Salomé,Wilde Salomé,2011,95,"Documentary,drama"
Movie,Scary Movie 5,Scary Movie 5,2013,86,Comedy
Movie,13,13,2010,91,"Drama,thriller"
Video,Carnies,Carnies,2010,82,"Horror,thriller"
Tvmovie,For Love of Liberty: The Story of America''s Black Patriots,For Love of Liberty: The Story of America''s Black Patriots,2010,115,Documentary
Movie,The Guardians,The Guardians,2010,88,"Comedy,family"
Movie,Ironmen,Ironmen,2010,119,"Biography,drama"
Tvseries,The Sports Reporters,The Sports Reporters,2016,60,Talk-show
Movie,Clash of the Titans,Clash of the Titans,2010,106,"Action,adventure,fantasy"
Movie,Nemesis,Nemesis,2010,83,Drama
Movie,Thor,Thor,2011,115,"Action,adventure,fantasy"
Movie,Red Dog,Red Dog,2011,92,"Biography,comedy,drama"
Movie,Warcraft,Warcraft,2016,123,"Action,adventure,fantasy"
Movie,Devil''s Knot,Devil''s Knot,2013,114,"Biography,crime,drama"
Movie,Folk!,Folk!,2010,,Documentary
Movie,It''s Kind of a Funny Story,It''s Kind of a Funny Story,2010,101,"Comedy,drama,romance"
Movie,The Mule,La mula,2013,100,"Comedy,drama"
Movie,Spoon,Spoon,2011,,"Action,drama,fantasy"
Movie,A Letter to Elia,A Letter to Elia,2010,60,Documentary
